,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
48,0.53,0.143,8,-17.471,1,0.0423,0.958,0.497,0.278,0.119,125.464,audio_features,0ivpUENLpheuPoa6VuY1ax,spotify:track:0ivpUENLpheuPoa6VuY1ax,https://api.spotify.com/v1/tracks/0ivpUENLpheuPoa6VuY1ax,https://api.spotify.com/v1/audio-analysis/0ivpUENLpheuPoa6VuY1ax,442227,4
49,0.641,0.14,8,-16.79,1,0.039,0.867,0.00166,0.105,0.388,129.318,audio_features,4xGFcQEIjtmbPD6Jsxq14M,spotify:track:4xGFcQEIjtmbPD6Jsxq14M,https://api.spotify.com/v1/tracks/4xGFcQEIjtmbPD6Jsxq14M,https://api.spotify.com/v1/audio-analysis/4xGFcQEIjtmbPD6Jsxq14M,317987,4
50,0.493,0.0421,2,-18.071,1,0.0347,0.913,0.173,0.0777,0.172,102.074,audio_features,7DUGRxCf9NFJffb5Eei8Ar,spotify:track:7DUGRxCf9NFJffb5Eei8Ar,https://api.spotify.com/v1/tracks/7DUGRxCf9NFJffb5Eei8Ar,https://api.spotify.com/v1/audio-analysis/7DUGRxCf9NFJffb5Eei8Ar,447560,4
51,0.652,0.171,7,-16.1,1,0.0569,0.99,0.864,0.158,0.562,118.883,audio_features,6ffJxrVKkPVW4hiRoiteB2,spotify:track:6ffJxrVKkPVW4hiRoiteB2,https://api.spotify.com/v1/tracks/6ffJxrVKkPVW4hiRoiteB2,https://api.spotify.com/v1/audio-analysis/6ffJxrVKkPVW4hiRoiteB2,213387,4
52,0.515,0.339,7,-16.457,0,0.0283,0.823,0.317,0.109,0.519,135.694,audio_features,2jz7vSAguRJmBHEA4I6C4N,spotify:track:2jz7vSAguRJmBHEA4I6C4N,https://api.spotify.com/v1/tracks/2jz7vSAguRJmBHEA4I6C4N,https://api.spotify.com/v1/audio-analysis/2jz7vSAguRJmBHEA4I6C4N,451733,3
53,0.392,0.168,10,-22.249,1,0.0442,0.637,0.358,0.198,0.292,123.419,audio_features,2dPWP7FMCxnv4u9Api6WWU,spotify:track:2dPWP7FMCxnv4u9Api6WWU,https://api.spotify.com/v1/tracks/2dPWP7FMCxnv4u9Api6WWU,https://api.spotify.com/v1/audio-analysis/2dPWP7FMCxnv4u9Api6WWU,277800,4
54,0.456,0.222,0,-16.879,1,0.0354,0.938,0.806,0.24,0.15,112.725,audio_features,4qRJ7ZJyfzchEd2fjle7Bz,spotify:track:4qRJ7ZJyfzchEd2fjle7Bz,https://api.spotify.com/v1/tracks/4qRJ7ZJyfzchEd2fjle7Bz,https://api.spotify.com/v1/audio-analysis/4qRJ7ZJyfzchEd2fjle7Bz,392000,4
55,0.404,0.0602,11,-26.459,0,0.0422,0.861,0.901,0.703,0.168,106.82,audio_features,3gMMHNUrq3rPeUfgQcAJ2H,spotify:track:3gMMHNUrq3rPeUfgQcAJ2H,https://api.spotify.com/v1/tracks/3gMMHNUrq3rPeUfgQcAJ2H,https://api.spotify.com/v1/audio-analysis/3gMMHNUrq3rPeUfgQcAJ2H,210066,3
56,0.522,0.379,4,-14.096,0,0.0286,0.635,0.925,0.114,0.454,133.698,audio_features,7yzM0pEseQUpb6BMViOPEA,spotify:track:7yzM0pEseQUpb6BMViOPEA,https://api.spotify.com/v1/tracks/7yzM0pEseQUpb6BMViOPEA,https://api.spotify.com/v1/audio-analysis/7yzM0pEseQUpb6BMViOPEA,251600,3
57,0.803,0.335,8,-13.331,1,0.0451,0.579,0.0128,0.0849,0.786,132.682,audio_features,18A1V1vsy5YgHFqb4galTw,spotify:track:18A1V1vsy5YgHFqb4galTw,https://api.spotify.com/v1/tracks/18A1V1vsy5YgHFqb4galTw,https://api.spotify.com/v1/audio-analysis/18A1V1vsy5YgHFqb4galTw,330440,4
58,0.368,0.14,0,-15.005,0,0.045,0.901,0.874,0.0688,0.172,61.758,audio_features,5LaTsDrhrpXwLniidLpnF7,spotify:track:5LaTsDrhrpXwLniidLpnF7,https://api.spotify.com/v1/tracks/5LaTsDrhrpXwLniidLpnF7,https://api.spotify.com/v1/audio-analysis/5LaTsDrhrpXwLniidLpnF7,428973,4
59,0.585,0.375,2,-12.171,0,0.0504,0.78,0.00365,0.0806,0.665,72.59,audio_features,5wcAcShxT5qvLJvuM6jkZt,spotify:track:5wcAcShxT5qvLJvuM6jkZt,https://api.spotify.com/v1/tracks/5wcAcShxT5qvLJvuM6jkZt,https://api.spotify.com/v1/audio-analysis/5wcAcShxT5qvLJvuM6jkZt,367400,4
60,0.575,0.187,0,-13.081,0,0.0513,0.927,0.876,0.166,0.342,107.469,audio_features,4ow1XH4hwe3yOGXG2eTTTY,spotify:track:4ow1XH4hwe3yOGXG2eTTTY,https://api.spotify.com/v1/tracks/4ow1XH4hwe3yOGXG2eTTTY,https://api.spotify.com/v1/audio-analysis/4ow1XH4hwe3yOGXG2eTTTY,525613,4
61,0.571,0.293,0,-11.914,0,0.0385,0.828,0.179,0.112,0.23,82.745,audio_features,57B6gMEI1E4E3kKLKvfX3U,spotify:track:57B6gMEI1E4E3kKLKvfX3U,https://api.spotify.com/v1/tracks/57B6gMEI1E4E3kKLKvfX3U,https://api.spotify.com/v1/audio-analysis/57B6gMEI1E4E3kKLKvfX3U,480000,4
62,0.652,0.356,5,-13.733,0,0.0419,0.546,0.000103,0.132,0.56,148.822,audio_features,2kF9Ijd7I2Kk2P4bYqUmzG,spotify:track:2kF9Ijd7I2Kk2P4bYqUmzG,https://api.spotify.com/v1/tracks/2kF9Ijd7I2Kk2P4bYqUmzG,https://api.spotify.com/v1/audio-analysis/2kF9Ijd7I2Kk2P4bYqUmzG,242347,4
63,0.558,0.0891,2,-17.633,0,0.0643,0.946,0.924,0.0966,0.13,100.523,audio_features,3Wadbk42UtsJOT5mCx9Bb0,spotify:track:3Wadbk42UtsJOT5mCx9Bb0,https://api.spotify.com/v1/tracks/3Wadbk42UtsJOT5mCx9Bb0,https://api.spotify.com/v1/audio-analysis/3Wadbk42UtsJOT5mCx9Bb0,243773,4
64,0.561,0.346,0,-12.596,0,0.0409,0.873,0.399,0.104,0.697,93.689,audio_features,6CDQBADsdzJwc3qZ3OPDHH,spotify:track:6CDQBADsdzJwc3qZ3OPDHH,https://api.spotify.com/v1/tracks/6CDQBADsdzJwc3qZ3OPDHH,https://api.spotify.com/v1/audio-analysis/6CDQBADsdzJwc3qZ3OPDHH,290293,4
65,0.467,0.459,0,-9.706,0,0.0305,0.719,0.00312,0.0944,0.178,124.379,audio_features,0T1EaGm6b9eM7xBf4F1hlc,spotify:track:0T1EaGm6b9eM7xBf4F1hlc,https://api.spotify.com/v1/tracks/0T1EaGm6b9eM7xBf4F1hlc,https://api.spotify.com/v1/audio-analysis/0T1EaGm6b9eM7xBf4F1hlc,477093,4
66,0.611,0.405,7,-10.607,1,0.0819,0.461,0.596,0.06,0.543,110.744,audio_features,5kMhXgQGUDIf84aXoNjYj7,spotify:track:5kMhXgQGUDIf84aXoNjYj7,https://api.spotify.com/v1/tracks/5kMhXgQGUDIf84aXoNjYj7,https://api.spotify.com/v1/audio-analysis/5kMhXgQGUDIf84aXoNjYj7,235827,4
67,0.373,0.302,1,-20.358,0,0.0376,0.818,0.835,0.171,0.35,86.925,audio_features,0Dt1B5dNfajRczQKZA87aL,spotify:track:0Dt1B5dNfajRczQKZA87aL,https://api.spotify.com/v1/tracks/0Dt1B5dNfajRczQKZA87aL,https://api.spotify.com/v1/audio-analysis/0Dt1B5dNfajRczQKZA87aL,435267,4
68,0.643,0.0767,1,-23.102,1,0.0416,0.962,0.902,0.116,0.377,112.062,audio_features,2bdFcnubC701djDrY5YUDE,spotify:track:2bdFcnubC701djDrY5YUDE,https://api.spotify.com/v1/tracks/2bdFcnubC701djDrY5YUDE,https://api.spotify.com/v1/audio-analysis/2bdFcnubC701djDrY5YUDE,371981,4
69,0.516,0.268,5,-15.992,0,0.0548,0.765,0.834,0.0891,0.833,81.773,audio_features,4cf8WFHrmO1WNWeFrqsnTq,spotify:track:4cf8WFHrmO1WNWeFrqsnTq,https://api.spotify.com/v1/tracks/4cf8WFHrmO1WNWeFrqsnTq,https://api.spotify.com/v1/audio-analysis/4cf8WFHrmO1WNWeFrqsnTq,479800,4
70,0.336,0.0619,5,-20.494,0,0.0363,0.985,0.891,0.11,0.197,60.705,audio_features,3GOZbK2epuHzCt5YvvVFHO,spotify:track:3GOZbK2epuHzCt5YvvVFHO,https://api.spotify.com/v1/tracks/3GOZbK2epuHzCt5YvvVFHO,https://api.spotify.com/v1/audio-analysis/3GOZbK2epuHzCt5YvvVFHO,190400,4
71,0.539,0.403,8,-9.168,1,0.0531,0.794,0.000613,0.278,0.699,165.301,audio_features,2BhU0Hl5OatWiCW93pE2b8,spotify:track:2BhU0Hl5OatWiCW93pE2b8,https://api.spotify.com/v1/tracks/2BhU0Hl5OatWiCW93pE2b8,https://api.spotify.com/v1/audio-analysis/2BhU0Hl5OatWiCW93pE2b8,342333,4
72,0.524,0.222,3,-8.967,1,0.0346,0.907,0.00124,0.0544,0.325,120.71,audio_features,58ylMBq2yqYdHyevarkNWa,spotify:track:58ylMBq2yqYdHyevarkNWa,https://api.spotify.com/v1/tracks/58ylMBq2yqYdHyevarkNWa,https://api.spotify.com/v1/audio-analysis/58ylMBq2yqYdHyevarkNWa,322000,4
73,0.634,0.327,0,-9.703,0,0.0551,0.709,0.0131,0.158,0.498,80.825,audio_features,4vWMrM0AwlhRlkAdQtC2zn,spotify:track:4vWMrM0AwlhRlkAdQtC2zn,https://api.spotify.com/v1/tracks/4vWMrM0AwlhRlkAdQtC2zn,https://api.spotify.com/v1/audio-analysis/4vWMrM0AwlhRlkAdQtC2zn,209400,4
